Sample,Group,Tide,Day_Night,Date,Salinity_Gump,SamplingTime,Temp_Gump,pH_Gump,mV,Notes,TempInSitu,TA,TrisCalDate,Salinity_CSUN,Salinity_Calibration_Date
ReefAmb1,ReefAmbient,high,night,6/17/22,37.1,02:00,24.342,8.12,,,,,,,
ReefAmb2,ReefAmbient,high,night,6/17/22,36.1,02:00,24.146,8.16,,,,,,,
ReefAmb3,ReefAmbient,high,night,6/17/22,36,02:00,24.061,8.16,,,,,,,
SandAmb1,SandAmbient,high,night,6/17/22,36.1,02:00,24.231,8.17,,,,,,,
SandAmb2,SandAmbient,high,night,6/17/22,36.1,02:00,24.032,8.17,,,,,,,
SandAmb3,SandAmbient,high,night,6/17/22,36.1,02:00,24.342,8.17,,,,,,,
RockSGD1,RockSGD,high,night,6/17/22,35.9,02:00,23.595,8.18,,,,,,,
RockSGD2,RockSGD,high,night,6/17/22,35.9,02:00,23.546,8.18,,,,,,,
RockSGD3,RockSGD,high,night,6/17/22,35.9,02:00,24.069,8.17,,,,,,,
ReefSGD1,ReefSGD,high,night,6/17/22,36.1,02:00,23.572,8.18,,,,,,,
ReefSGD2,ReefSGD,high,night,6/17/22,36.1,02:00,23.942,8.17,,,,,,,
ReefSGD3,ReefSGD,high,night,6/17/22,36.6,02:00,23.76,8.17,,,,,,,
SandSGD1,SandSGD,high,night,6/17/22,36.2,02:00,24.115,8.18,,,,,,,
SandSGD2,SandSGD,high,night,6/17/22,35.8,02:00,23.964,8.18,,,,,,,
SandSGD3,SandSGD,high,night,6/17/22,35.8,02:00,23.838,8.17,,,,,,,
ReefSGD1,ReefSGD,high,day,6/16/22,35.9,13:30,16.429,8.21,,,,,,,
ReefSGD2,ReefSGD,high,day,6/16/22,36.5,13:30,16.848,8.28,,,,,,,
ReefSGD3,ReefSGD,high,day,6/16/22,36.2,13:30,18.092,8.3,,,,,,,
SandAmb3,SandAmbient,low,night,6/16/22,37.4,20:00,24.221,8.21,,,,,,,
SandAmb2,SandAmbient,low,night,6/16/22,36.1,20:00,24.061,8.21,,,,,,,
SandAmb1,SandAmbient,low,night,6/16/22,36.2,20:00,24.144,8.21,,,,,,,
ReefAmb1,ReefAmbient,low,night,6/16/22,36.2,20:00,24.181,8.23,,,,,,,
ReefAmb3,ReefAmbient,low,night,6/16/22,36,20:00,24.062,8.22,,,,,,,
ReefAmb2,ReefAmbient,low,night,6/16/22,36.2,20:00,24.138,8.24,,,,,,,
RockSGD1,RockSGD,low,night,6/16/22,35.6,20:00,24.288,8.19,,,,,,,
RockSGD2,RockSGD,low,night,6/16/22,35,20:00,24.105,8.17,,,,,,,
RockSGD3,RockSGD,low,night,6/16/22,35.5,20:00,24.235,8.17,,,,,,,
SandSGD1,SandSGD,low,night,6/16/22,34.7,20:00,24.319,8.17,,,,,,,
SandSGD2,SandSGD,low,night,6/16/22,35.5,20:00,24.578,8.18,,,,,,,
SandSGD3,SandSGD,low,night,6/16/22,18.8,20:00,24.364,7.4,,,,,,,
ReefSGD1,ReefSGD,low,night,6/16/22,34.7,20:00,24.224,8.18,,,,,,,
ReefSGD2,ReefSGD,low,night,6/16/22,35.5,20:00,24.241,8.18,,,,,,,
ReefSGD3,ReefSGD,low,night,6/16/22,35.8,20:00,24.42,8.19,,,,,,,
SandAmb1,SandAmbient,high,day,6/16/22,37.4,13:30,15.673,8.3,,,,,,,
SandAmb2,SandAmbient,high,day,6/16/22,35.7,13:30,14.55,8.32,,,,,,,
SandAmb3,SandAmbient,high,day,6/16/22,36,13:30,15.684,8.3,,,,,,,
ReefAmb1,ReefAmbient,high,day,6/16/22,36.3,13:30,14.528,8.32,,,,,,,
ReefAmb2,ReefAmbient,high,day,6/16/22,36.3,13:30,16.934,8.28,,,,,,,
ReefAmb3,ReefAmbient,high,day,6/16/22,36.6,13:30,17.238,8.3,,,,,,,
SandSGD1,SandSGD,high,day,6/16/22,36.1,13:30,17.55,8.28,,,,,,,
SandSGD2,SandSGD,high,day,6/16/22,35.9,13:30,15.89,8.32,,,,,,,
SandSGD3,SandSGD,high,day,6/16/22,35.3,13:30,16.546,8.33,,,,,,,
RockSGD1,RockSGD,high,day,6/16/22,36.3,13:30,17.288,8.29,,,,,,,
RockSGD2,RockSGD,high,day,6/16/22,36.2,13:30,16.455,8.29,,,,,,,
RockSGD3,RockSGD,high,day,6/16/22,36.1,13:30,16.818,8.3,,,,,,,
ReefAmb1,ReefAmbient,low,day,6/16/22,36.5,07:30,24.715,8.1,,,,,,,
SandAmb3,SandAmbient,low,day,6/16/22,36,07:30,24.508,8.1,,,,,,,
ReefAmb2,ReefAmbient,low,day,6/16/22,36.1,07:30,24.39,8.12,,,,,,,
ReefAmb3,ReefAmbient,low,day,6/16/22,36,07:30,24.498,8.13,,,,,,,
ReefAmb1,ReefAmbient,low,day,6/16/22,36,07:30,24.188,8.13,,,,,,,
SandAmb2,SandAmbient,low,day,6/16/22,36.1,07:30,24.459,8.14,,,,,,,
ReefSGD1,ReefSGD,low,day,6/16/22,35.4,07:30,24.291,8.13,,,,,,,
RockSGD1,RockSGD,low,day,6/16/22,35.3,07:30,24.39,8.13,,,,,,,
ReefSGD2,ReefSGD,low,day,6/16/22,35.7,07:30,24.424,8.13,,,,,,,
ReefSGD3,ReefSGD,low,day,6/16/22,35.2,07:30,24.314,8.11,,,,,,,
RockSGD2,RockSGD,low,day,6/16/22,35,07:30,24.29,8.11,,,,,,,
RockSGD3,RockSGD,low,day,6/16/22,35.6,07:30,24.312,8.11,,,,,,,
SandSGD1,SandSGD,low,day,6/16/22,34.2,07:30,24.229,8.09,,,,,,,
SandSGD2,SandSGD,low,day,6/16/22,35.1,07:30,24.144,8.12,,,,,,,
SandSGD3,SandSGD,low,day,6/16/22,18.2,07:30,24.2,7.37,,,,,,,